Sample_ID,Sample_Name,Class_Label,Class_Name,OPR,NaHCO3_P,DOC,OPR_FeP,FeII,NH4_NO3_Ratio,log_nosZ_norB_Ratio
YY,mean.YY,1,Promoted,1.443894570010132,-0.39298462025921554,0.19195029795009866,0.9601687329685086,-0.5093696595075516,-0.4016042947058851,1.8861624003647415
BB,mean.BB,1,Promoted,0.01001826478349899,-1.071826250653595,-0.03329483657192694,-0.756254247814933,-0.9277381176687494,-0.892205794650157,-0.19757096791614856
SQ,mean.SQ,1,Promoted,-0.6926219759543382,-1.0059416977957716,-0.6479875364074309,0.05870982540417113,0.8975313223275206,3.511679457489257,0.6024174203370564
CY,mean.CY,1,Promoted,-0.541472621842129,-0.502368584749731,-1.0111752888223637,-0.4415832624059815,-0.5973432944573571,-0.3587829775572429,-0.38256083858139006
WZ,mean.WZ,1,Promoted,0.9577655662438375,-0.5083036907575814,1.937783049644526,1.468881455107683,-0.9463633160360583,-0.31856343645912516,0.2977387422922698
SH2,mean.SH2,0,Suppressed_or_neutral,-0.21057808986675242,-0.4835770046055477,-0.13544676875762363,-0.6881095185589459,2.2968505735757705,0.047420239817600275,0.6688997720603618
WF,mean.WF,1,Promoted,-0.5741535632717957,-0.9852455228656697,2.7721493136838484,-0.12555347183707083,-0.5139347974211478,3.811251840904488,-1.9434697294304766
LS1,mean.LS1,1,Promoted,-0.2759399727260859,-0.332081784711401,-0.024518809441619136,-0.4766834390478988,0.1865346194363383,0.9361229573587124,-0.277022922192978
DL,mean.DL,1,Promoted,0.4471258564052931,0.4636890024594801,-0.6020094283105888,-1.0302900760383285,-0.891297512167493,0.4679313945586388,0.34696881058898826
ZY,mean.ZY,1,Promoted,-0.10436503022033483,1.3846217364378273,-0.41138813028020665,-1.0705061386813555,-0.365743001716038,1.0892444554821887,0.5357667957743585
BJ,mean.BJ,1,Promoted,-0.7702392118497972,-0.4941690710599418,-0.6812492674762993,0.1277803985539719,-1.0785049889085887,-0.006475154089072919,0.03470853083196246
ZQ,mean.ZQ,1,Promoted,1.0190423314244628,0.3110986980665914,0.7271073505268196,-0.2693312691809136,-0.9747060092037023,-0.5287694904216176,1.1290995511193223
RL,mean.RL,0,Suppressed_or_neutral,1.3744475694720892,-0.12333163188805668,-0.7153543437511842,0.501252596305462,1.520260780782326,-0.388175868541027,0.017522761598293725
LZ,mean.LZ,1,Promoted,-1.3666663929412168,-0.629803536244541,-0.5831638878105854,0.8256761866256768,1.7980191738252365,-0.9091156206364198,0.6767000946833793
HF,mean.HF,1,Promoted,0.3368276790801674,-0.24247478539779785,-0.22049522567309218,-0.4373698354559783,-0.2062141287438707,-0.7715516245691222,0.9243962789287747
AY,mean.AY,1,Promoted,0.23878485479116665,-0.8215464354585209,-1.033169029102323,-0.9275241308945341,-0.048304838238425914,-0.5333880412568207,0.045269324345015655
MH,mean.MH,1,Promoted,-0.006322205931334663,1.9001803074809156,2.453889943196514,-0.7776508514807273,0.08369113279945878,-0.6995054949965201,-1.7098941847130182
HZ,mean.HZ,1,Promoted,1.0394679198180046,1.6594903037101725,-0.5505913415846421,-1.1636914500582582,-0.6815615827269276,-0.44097173934135037,-1.3866370586823704
HK,mean.HK,0,Suppressed_or_neutral,1.3907880401869228,1.8416339559530281,-0.05351147177986634,1.3749072250956915,-0.44348296011871846,-0.6783250325143824,1.007169232299944
GL,mean.GL,0,Suppressed_or_neutral,1.07623397892638,0.07961018695113133,0.49318084723342837,3.8506740982245744,-0.8823898086005192,0.006149811867756217,1.31205114817413
YC2,mean.YC2,1,Promoted,0.18976344264666628,-1.0736421935304872,0.39291067706936783,-0.9486674955408608,0.8983411135608818,0.6998370153378781,-0.6878730207045362
LY,mean.LY,1,Promoted,-0.45568515058925374,0.6162794468085191,-0.19022596849966433,-0.25037668587577894,-0.8380738630258685,0.11947562158706798,-0.31970372366667926
YT1,mean.YT1,0,Suppressed_or_neutral,-1.3217300984754252,-0.9320517350881221,-0.7008486049837651,0.7789167765335175,0.32905787650791923,0.5873931399363229,1.2153074725399253
CQ,mean.CQ,1,Promoted,0.14891226585958273,-0.31768070253694125,-0.29248049116823405,-0.8784984002292102,-0.8208456748650637,-0.7407799329360435,0.2951923501339004
SY,mean.SY,1,Promoted,1.5460225119778408,-0.325022547173612,-0.5544725225816421,-1.1643903120095846,-1.1016053967015196,-0.8446802532334783,-0.4933509856902849
TZ,mean.TZ,1,Promoted,2.473344225044637,3.3025829806881966,2.312361623095484,0.6970039501385034,-0.710714067127933,-0.8824437173009634,-1.367952786850995
SH1,mean.SH1,1,Promoted,-0.03491802968229327,0.07897364799603925,-0.3826172457215767,-0.7679318433428725,-0.8499981592660689,-0.5036130244545596,-1.0094364867088477
XN,mean.XN,0,Suppressed_or_neutral,-1.2032616857928826,0.2555952347073943,-2.0180595320803714,0.49545350428018126,1.5809951232844202,0.3624263686438509,0.29458086417609025
CF,mean.CF,0,Suppressed_or_neutral,-2.289902988329305,-0.2836800126274797,-0.19657056440668724,1.8981117865554025,-0.6767028353267602,-0.7736413884251764,-0.49436315888343835
ATS,mean.ATS,1,Promoted,-1.2849640393670496,-1.0817650586622758,-0.6380674514819008,0.7885251497697621,1.3631612815102423,0.006738604389135987,-0.2044851050919462
YT2,mean.YT2,1,Promoted,1.0149572137457548,-0.0653438860484114,1.8979350344475336,-0.1371230368718114,-0.9536514371363096,-0.7568883187572467,0.3738287525906977
JC,mean.JC,1,Promoted,0.1734229719318332,-0.6146549662341761,-0.6686514644369833,-0.9372995193873671,0.03267428509769966,-0.04798377971227307,0.06683582338880412
XY,mean.XY,0,Suppressed_or_neutral,-1.0888783907890487,-1.0410504701190815,0.03402857845104721,0.5421470374511207,1.491918087614682,0.054460894336520134,1.3466965783727687
WH,mean.WH,1,Promoted,-0.6313452107737129,-0.9861358992383031,0.37980294794968744,-0.2138604558997403,2.033668422733362,1.4603717134748402,-0.4631470041701363
TH1,mean.TH1,1,Promoted,-0.15338644236483523,2.011083309002998,1.1242688795902718,-1.0995742724837532,-0.324443648814614,-0.3970263942386327,-3.340919519251037
YC1,mean.YC1,1,Promoted,-1.9263275149242616,0.3375774525150393,-0.5919209210360231,1.365447169384389,-0.7788461080781557,-0.09764905437775809,0.5770385244997852
XC,mean.XC,1,Promoted,-0.6640261522033796,-1.0065063606986913,-0.5127480527298789,-0.006869866793936023,-0.16248540214236298,0.04664817077677542,-1.1112343243667695
LS2,mean.LS2,1,Promoted,0.16116761889570824,-0.6596371207596612,-0.6400809797894961,-0.8759258133346095,0.29585643594010774,-0.6025589957944547,0.752375290316108
NJ,mean.NJ,1,Promoted,0.7494245646297111,0.19247517575345877,-0.6103829388314469,-0.26236204216176834,-0.34225905594856165,-0.776754423795387,0.7345819245158828
BS,mean.BS,1,Promoted,0.9373399778502958,0.1511357021886353,0.6218120308751544,0.14901493619493056,0.3501124485753119,-0.4740990301182304,0.48510079672372874
WL,mean.WL,0,Suppressed_or_neutral,-0.42300420915958703,0.16668793482090477,-0.8023081442044803,-0.24409194695845116,2.1842895921385557,0.6657623305304248,0.5910109203508702
SN,mean.SN,1,Promoted,-0.7089624466691719,1.228110493624282,0.16360967400813342,0.06884855375112375,-0.7163826057614616,-0.04736113360850849,-0.8277983441061045
