ID,样本代码,Response_Group,LNRR_24h,LNRR_48h,LNRR_72h,LNRR_cum,OPR_FeP,FeII_FeIII_Ratio,FeII,log_nosZ_norB_Ratio,log_Source_Sink_Ratio,log_Sink_Source_Ratio,log_DNRA_Advantage,NO3,NH4_NO3_Ratio,pH,SOC,Trajectory_cluster,轨迹类型
1,YY,Promoted,0.10439922133823992,0.26984067862710964,0.32957859557726454,0.1665140856299654,1.107852371601633,0.3843659714670315,5.588016272,0.488045710232009,0.052820989538805076,-0.05282098953880511,-1.1180360494087518,0.01329303517862014,1.448768818426598,5.48,19.64,3,延迟促排型
2,BB,Promoted,0.48360626810487317,-0.5614861341638517,1.7388686058400236,0.7251425226660873,-0.007236968249441855,0.1932480957796734,1.670276144,0.051349481910188864,0.32790757603522375,-0.32790757603522375,-0.7549673962250675,0.008101388300031572,0.07678790725690963,8.03,3.42,4,持续促排型
3,SQ,Promoted,1.394535895661438,0.3409047072358919,0.06027869303669124,1.080996272963314,0.5222116353770616,4.764997232331288,18.762700752,0.2190062066953022,0.22979954978878545,-0.22979954978878542,-0.4935342913057369,0.006100777472129724,12.39237703938005,8.092,17.12,2,混合响应型
4,CY,Promoted,0.3233737596949123,1.4769310418510657,0.133388851079839,0.3439253820819783,0.1971918149341747,0.5549759520625497,4.76420216,0.012580424396894524,0.46302866527855563,-0.4630286652785556,-1.0970683783880724,0.008800875831485588,1.568519837789062,6.926,11.54,1,早期促排后减弱/反转型
5,WZ,Promoted,0.3876878514001437,1.2321709493487267,-0.04857374838477102,0.5122010455546112,1.438342081804124,0.06827933394193901,1.495863648,0.15515349330231845,0.40998037696147577,-0.40998037696147577,-1.5354800591616806,0.0177561337539432,1.680994917153659,5.756,10.474,1,早期促排后减弱/反转型
6,SH2,Suppressed,-0.17975887853453487,0.19840936952960253,-0.2524197485609252,-0.1036470698067401,0.03703385660615727,3.524196891675339,31.866387408,0.2329391756103628,0.20881809342175184,-0.20881809342175184,-0.6588550907600551,0.009060376068376072,2.704478574884854,7.840000000000001,18.25,3,延迟促排型
7,WF,Promoted,0.38244611633711406,0.7994958785870805,-0.49846581794185635,0.4262950312873049,0.4025033578837514,0.9563261624106882,5.545266816,-0.3145454141407669,0.6455993052193769,-0.6455993052193769,-0.9353927377356391,0.008765804392716348,13.23013964631458,7.68,10.32,1,早期促排后减弱/反转型
8,LS1,Promoted,0.7935342290741694,0.03192216209027773,-0.05080056215908109,0.3065037814770032,0.1743886753593208,1.684154672899797,12.104693296,0.03469842218553983,0.4973696810176838,-0.49736968101768375,-0.6233817110649298,0.006544520056709198,5.189760752598402,7.572,17.56,2,混合响应型
9,DL,Promoted,0.543176715234068,-0.10761350949220284,0.48460242826942795,0.256488933693225,-0.1852667628923058,0.07971140031250236,2.011517984,0.16547083306970872,0.24929727602162507,-0.24929727602162507,-0.44287855757014305,0.00727023471512398,3.880449861772812,7.292,21.0,2,混合响应型
10,ZY,Promoted,0.13089996267393944,0.052624436905703266,0.13839758214628745,0.1060696098197843,-0.2113934829642741,0.2617296786980305,6.932983632,0.205037972176969,0.2837255359012445,-0.28372553590124444,-0.9046538776151158,0.01045866884442629,5.617969334388262,7.302,36.44,3,延迟促排型
11,BJ,Promoted,0.2458326603081119,-0.17742969526186145,-0.051604772329714554,0.01726482324828967,0.5670839428904415,0.0628724725893598,0.258445472,0.10002921347463026,0.4302522405845487,-0.4302522405845487,-0.4866453613764877,0.00647774193548387,2.553758587994626,8.782,19.626,3,延迟促排型
12,ZQ,Promoted,0.47900298129303975,-0.40284215508271226,-0.3161730895309927,0.1898201250417681,0.3090968427529596,0.1713255612673978,1.230453328,0.3293850601216734,0.1369617765067892,-0.13696177650678917,-1.247178384233463,0.008293826931975938,1.093147767314931,5.396,8.626000000000001,3,延迟促排型
13,RL,Suppressed,-0.3633938940442126,0.182321556570505,-0.1491063609720063,-0.1912163737456066,0.8097134526942272,1.887217628046741,24.59414464,0.09642752396895994,0.3557551641629833,-0.3557551641629833,-1.1931339352443684,0.01391933999805884,1.486321790374971,6.612,10.256,3,延迟促排型
14,LZ,Promoted,0.11155800925381536,0.40769345544033253,-0.14303663607584552,0.04365065314360148,1.020478101741959,6.152487964544511,27.195165776,0.2345739200172134,0.4549556101597217,-0.4549556101597217,-0.5193678050746359,0.007369382967873532,0.02949910266297965,9.272,8.426,3,延迟促排型
15,HF,Promoted,1.1130394984544227,0.20999765099270126,0.5928342924461045,0.5861919539862114,0.1999291049429844,1.111357016287504,8.426864576,0.2864845872245591,0.13544945057156918,-0.13544945057156918,-0.9798578420228534,0.01401240984544938,0.414200691814242,6.906000000000001,26.04,2,混合响应型
16,AY,Promoted,1.0185591723485847,1.7199807645357195,-0.2051920704956878,0.7499491251907943,-0.1185039595434129,0.8345729069916354,9.905579216000001,0.10224248066391595,0.47747400887358166,-0.47747400887358166,-1.1227372212196105,0.007608770076379471,1.080231859834246,6.234,9.22,1,早期促排后减弱/反转型
17,MH,Promoted,0.7316703154777752,-1.6079737356297317,0.2579414144226526,0.4202895398187155,-0.02113746068275532,0.543298969687483,11.141632992,-0.2655940651058943,0.6950703864455061,-0.6950703864455061,-1.5341255666570344,0.06603333333333335,0.6156797221647323,6.164,105.5,2,混合响应型
18,HZ,Promoted,2.656438556207098,-0.8731677087103277,0.2726866330370712,0.3583278183816975,-0.2719321430209338,0.4265671180315627,3.975554352000001,-0.19784779302301334,0.6440977785577511,-0.6440977785577512,-1.2215326972044724,0.008166203193832608,1.338676650816994,6.728,22.64,2,混合响应型
19,HK,Suppressed,0.10031182103341889,-0.30234553450741036,0.19041597785104242,-0.1419516945771779,1.377290893792615,0.2223376544825414,6.205001040000001,0.30383164184031786,0.13069764335831258,-0.13069764335831258,-0.9187225029471686,0.007624566929133857,0.6749114819912709,6.311999999999999,11.2,3,延迟促排型
20,GL,Suppressed,-0.9929506091319735,-0.020075061488619747,-0.37655376432175597,-0.2025888701428038,2.985694695821853,0.103681923131364,2.094932656,0.36772694858756766,0.1862647346372198,-0.18626473463721976,-1.2542205537735809,0.01012431045849565,2.58906466084378,5.066,20.65,3,延迟促排型
21,YC2,Promoted,1.2572082502535376,1.5562718794557249,1.920765599414032,1.465845426698962,-0.1322399330124593,4.526450251760393,18.770283904,-0.051405054946789895,0.36311718434524964,-0.3631171843452496,-1.2576745294384755,0.0117140737688028,4.5289804613291,8.75,18.3,4,持续促排型
22,LY,Promoted,0.27694279378176173,0.6301435768190062,-0.041843935344794685,0.1143926935113369,0.3214108551039406,0.3345411546428029,2.509921776,0.02575363812197471,0.32423575116845227,-0.3242357511684522,-0.5358091111959629,0.008837797305213826,2.905983479264444,8.196,27.8,3,延迟促排型
23,YT1,Suppressed,-0.7018002481809974,-0.9846817344488247,0.20381463496291277,-0.7990489233152508,0.9901004382433661,2.902299074414004,13.439328048,0.3474519945523968,0.17216651692913248,-0.1721665169291325,-0.5218929549843004,0.01461180715445334,4.214527997065537,8.3,19.98,3,延迟促排型
24,CQ,Promoted,0.5442323958878044,-0.04478249195008481,0.4214612531734647,0.2893026307413875,-0.08665396088028626,0.3116064130500716,2.671252208,0.1546198358448359,0.2291816251688855,-0.2291816251688855,-0.7298051018126968,0.008355494338347137,0.5002545940745888,7.622,15.306,2,混合响应型
25,SY,Promoted,0.5877925317779175,2.2293189294223597,1.7365072498833773,1.769516855120657,-0.2723861648562719,0.00676987903595173,0.04212564,-0.010638304119023879,0.42917322033491523,-0.4291732203349152,-1.021070799720043,0.007107294668771321,0.2096944222677571,6.032,4.680000000000001,4,持续促排型
26,TZ,Promoted,-0.1241745008912638,0.2849789139238569,0.23678192328383188,0.10905446783198,0.9368850475542593,0.4325573185976144,3.70256088,-0.19393205641203182,0.5446350313792769,-0.5446350313792769,-1.9410377393629037,0.00988566622566623,0.1040878314886475,4.808,26.3,3,延迟促排型
27,SH1,Promoted,-0.005237759881590826,0.49327553869902496,2.020188259100711,0.8320293321051008,-0.01482342125903406,0.2944484090697024,2.398258736,-0.11879638001158348,0.5792389367817593,-0.5792389367817593,-1.658691232573552,0.01014395652173912,1.163498532861335,6.244,13.04,4,持续促排型
28,XN,Suppressed,-0.5170616846239833,-0.03929685948122542,0.4831788595238122,-0.02504187935760721,0.8059460213730418,5.734567561469759,25.16288104,0.1544916843185839,0.35447592546036216,-0.35447592546036216,-0.5962433326936258,0.006505998558038933,3.585402085514495,8.6,25.374,3,延迟促排型
29,CF,Suppressed,-0.30753644444084394,0.12879340623206584,-0.22808193322397546,-0.1720061397216955,1.717195355325101,2.228125354079393,4.021053264,-0.010850429251052238,0.4565027874101315,-0.4565027874101315,-0.7142310134895259,0.01166731371799768,0.4083566083377658,8.862,12.48,3,延迟促排型
30,ATS,Promoted,0.4975507334416593,-0.4090935590010174,-0.4586390626427981,0.02710176553964556,0.9963426027267129,4.939280221913961,23.123013152,0.04990045888606672,0.3557305961000753,-0.35573059610007524,-0.8007517314603454,0.007436731096644967,2.590711235711701,8.798,21.85,3,延迟促排型
31,YT2,Promoted,-0.35966800619814593,-0.05085724605925499,0.6300437399780998,0.02523669812575705,0.3949870878376207,0.07239035610136772,1.42761528,0.17109997715485936,0.3712565232760109,-0.3712565232760109,-1.5761910682368212,0.007054627306273062,0.4552070394728242,6.15,6.859999999999999,3,延迟促排型
32,JC,Promoted,1.0333134337531116,0.7872595959616219,-0.2642851682321263,0.7458502465524116,-0.1248546269623993,1.224804420549444,10.663894416,0.10676225701049268,0.38853771741500726,-0.3885377174150073,-0.3994800023748416,0.00996177989670242,2.437678547451765,8.402,18.76,1,早期促排后减弱/反转型
33,XY,Suppressed,-0.232121877439249,0.30786566515834063,0.12991598627658946,-0.1770002440267771,0.8362808873482873,4.490726309863314,24.32873432,0.37498772817032905,0.15595495549114122,-0.15595495549114122,-0.49467067041239,0.00617149337113316,2.724167963529601,8.662,12.58,3,延迟促排型
34,WH,Promoted,0.8592286510790115,-0.27851194808538515,0.16036946869402774,0.658000638063182,0.3451339462264128,2.513252550319565,29.401863008,-0.004308336470124181,0.3175305788064603,-0.3175305788064603,-0.5828326846246589,0.007237803521779426,6.655837163244277,8.464,12.26,2,混合响应型
35,TH1,Promoted,0.7332742868236357,0.34721233963662956,0.024565849715238147,0.3513868676072651,-0.2302778526652807,0.5087738563799654,7.319724384,-0.607414483558815,0.8910930064368104,-0.8910930064368104,-2.0875354801639006,0.01762350572971549,1.461571046008492,6.218999999999999,30.01,2,混合响应型
36,YC1,Promoted,0.041738708631655914,0.10780569188534198,0.06564334101361266,0.06996911483900871,1.371145085098504,0.5855373009740644,3.0645499936,0.21368745130182681,0.17663732079270023,-0.1766373207927002,-0.4680552717726647,0.007525969827586208,2.298788208150346,8.478,7.959999999999999,3,延迟促排型
37,XC,Promoted,0.9964466392624739,3.242836243857671,0.16393822092740085,1.249903840618026,0.4796072094869783,1.172981981723667,8.836354784,-0.14013055473529445,0.47903025080614475,-0.47903025080614475,-0.5531363699259023,0.007588158660844248,2.702319462068776,8.446000000000002,32.18,1,早期促排后减弱/反转型
38,LS2,Promoted,0.4974577044540767,1.182497522484661,0.1568823723051685,0.5405168591463604,-0.08498265709670451,2.052684965750587,13.128418816,0.2504334695226248,0.19334751752358917,-0.1933475175235891,-0.530879918495944,0.007426194417709336,0.8867933374412241,7.462000000000001,16.366,1,早期促排后减弱/反转型
39,NJ,Promoted,1.389266800948384,0.054902212096396744,0.5064894446437105,0.9280647745066047,0.3136244626013631,0.4828274161975348,7.15289504,0.2467044436057824,0.13266753950382715,-0.13266753950382718,-0.7736259643427416,0.007902099433281816,0.3996509172540452,7.44,11.02,2,混合响应型
40,BS,Promoted,-0.05278462300641988,0.6948018485870274,1.0372494829020786,0.5226858796343572,0.5808791477002091,1.457033169926959,13.63649,0.19441969873259798,0.32318532619964774,-0.3231853261996478,-1.2751748666426586,0.01050647026330325,1.246035249211394,5.984,23.3,4,持续促排型
41,WL,Suppressed,0.10006317206341944,-0.4152958380726052,0.09336579876210667,-0.1101422414887724,0.3254937912152135,5.913700145672156,30.81232928,0.21661570146169368,0.3184479417235052,-0.3184479417235052,-0.6070720100883923,0.007655016759776537,4.433689645635996,8.058,9.66,3,延迟促排型
42,SN,Promoted,1.012143325346426,0.1253709943015554,0.09371316269207922,0.5045617639035808,0.528798349739376,0.6277247689126942,3.649478816,-0.08072975738057017,0.446726327281186,-0.446726327281186,-0.5795959976590863,0.00744090212264151,2.439419794816227,8.294,8.059999999999999,2,混合响应型
